instance_type,price
ml.m5.large,0.115
ml.m5.xlarge,0.23
ml.m5.2xlarge,0.461
ml.m5.4xlarge,0.922
ml.m5.12xlarge,2.765
ml.m5.24xlarge,5.53
ml.m4.xlarge,0.24
ml.m4.2xlarge,0.48
ml.m4.4xlarge,0.96
ml.m4.10xlarge,2.4
ml.m4.16xlarge,3.84
ml.c4.2xlarge,0.478
ml.c4.4xlarge,0.955
ml.c4.8xlarge,1.909
ml.c4.xlarge,0.239
ml.c5.18xlarge,3.672
ml.c5.2xlarge,0.408
ml.c5.4xlarge,0.816
ml.c5.9xlarge,1.836
ml.c5.xlarge,0.204
ml.c5n.18xlarge,4.666
ml.c5n.2xlarge,0.518
ml.c5n.4xlarge,1.037
ml.c5n.9xlarge,2.333
ml.c5n.xlarge,0.259
ml.p4d.24xlarge,37.688
ml.p3.2xlarge,3.825
ml.p3.8xlarge,14.688
ml.p3.16xlarge,28.152
ml.p3dn.24xlarge,35.894
ml.p2.xlarge,1.125
ml.p2.8xlarge,8.64
ml.p2.16xlarge,16.56
ml.g5.xlarge,1.408
ml.g5.2xlarge,1.515
ml.g5.4xlarge,2.03
ml.g5.8xlarge,3.06
ml.g5.12xlarge,7.09
ml.g5.16xlarge,5.12
ml.g5.24xlarge,10.18
ml.g5.48xlarge,20.36
ml.g4dn.xlarge,0.736
ml.g4dn.2xlarge,0.94
ml.g4dn.4xlarge,1.505
ml.g4dn.8xlarge,2.72
ml.g4dn.12xlarge,4.89
ml.g4dn.16xlarge,5.44
